chamber,state,district,party,lastName,firstName,phonetic,officialFullName,middleName,suffix,nickname,address,phone,fax,url,caucusesWith,startTerm,endTerm,stateRankSenate,classSenate,gender,birthday,religion,raceEthnicity,lgbtq,contactForm,office,rssUrl,pre2018incumbent,2016presidentClinton,2016presidentTrump,2012presidentObama,2012presidentObama,2008presidentObama,2008presidentMccain,2018senateDem,2018senateRep,priorSenateElectionDem,priorSenateElectionRep,2018houseDem,2018houseRep,2016houseDem,2016houseRep,2014houseDem,2014houseRep,whiteACS2012-16citizenAdultPopulation,blackACS2012-16citizenAdultPopulation,latinoACS2012-16citizenAdultPopulation,asianPacificIslanderACS2012-16citizenAdultPopulation,nativeACS2012-16citizenAdultPopulation,otherACS2012-16citizenAdultPopulation,white2010censusAdultPopulation,black2010censusAdultPopulation,latino2010censusAdultPopulation,asianPacificIslander2010censusAdultPopulation,native2010censusAdultPopulation,other2010censusAdultPopulation,bachelorsPlusACS2013-17,bachelorsPlusRankACS2013-17,whiteBachelorsPlusACS2013-17,whiteBachelorsPlusRankACS2013-17,medianHouseholdIncomeACS2013-17,householdIncomeRankACS2013-17,nonCollegeWhiteShare,citizenPopulation,whiteCitizenPopulation,blackCitizenPopulation,latinoCitizenPopulation,asianPacificIslanderCitizenPopulation,nativeAmericanCitizenPopulation,otherCitizenPopulation,citizenVotingAgePopulation,whiteCitizenVotingAgePopulation,blackCtizenVotingAgePopulation,latinoCitizenVotingAgePopulation,asianPacificIslanderCitizenVotingAgePopulation,nativeCitizenVotingAgePopulation,otherCitizenVotingAgePopulation,censusTotalPopulation,censusWhitePopulation,censusBlackPopulation,censusLatinoPopulation,censusAsianPacificIslanderPopulation,censusNavtiveAmericanPopulation,censusOtherPopulation
sen,AL,,Democrat,Jones,Doug,(DUHG JOHNZ),Doug Jones,,,,326 Russell Senate Office Building Washington DC 20510,202-224-4124,,https://www.jones.senate.gov,,1/3/18,1/3/21,junior,2,M,5/4/54,,White - Non-Hispanic,No,https://www.jones.senate.gov/content/contact-senator,326 Russell Senate Office Building,,Lost in primary,34.35794576,62.08309236,38.3590331,60.54582233,38.74043429,60.31691303,,,49.96559701,48.34005576,,,,,,,69.96987219,25.9791537,1.713836672,0.763704855,0.48083594,1.091772348,69.38768292,24.73840073,3.24450268,1.141755891,0.536016321,0.951641457,24.7,,27.3,,46472,47,50.86809708,4734505,3195135,1271600,131865,39820,21910,74180,3639495,2546550,945510,62375,27795,17500,39735,4779736,3204402,1244437,185602,54913,25907,64475
sen,AL,,Republican,Shelby,Richard,(RICH-erd SHEL-bee),Richard C. Shelby,C.,,,304 Russell Senate Office Building Washington DC 20510,202-224-5744,202-224-3416,https://www.shelby.senate.gov,,1/3/17,1/3/23,senior,3,M,5/6/34,Presbyterian,White - Non-Hispanic,No,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,304 Russell Senate Office Building,http://www.shelby.senate.gov/public/index.cfm/rss/feed,Not up,34.35794576,62.08309236,38.3590331,60.54582233,38.74043429,60.31691303,,,35.86726159,63.95879363,,,,,,,69.96987219,25.9791537,1.713836672,0.763704855,0.48083594,1.091772348,69.38768292,24.73840073,3.24450268,1.141755891,0.536016321,0.951641457,24.7,,27.3,,46472,47,50.86809708,4734505,3195135,1271600,131865,39820,21910,74180,3639495,2546550,945510,62375,27795,17500,39735,4779736,3204402,1244437,185602,54913,25907,64475
rep,AR,1,Republican,Crawford,Eric,(RIK KRAW-ferd),"Eric A. ""Rick"" Crawford",A.,,Rick,2422 Rayburn House Office Building Washington DC 20515-0401,(202) 225-4076,,https://crawford.house.gov,,1/3/19,1/3/21,,,M,1/22/66,,White - Non-Hispanic,No,,2422 Rayburn House Office Building,http://crawford.house.gov/news/rss.aspx,Won,30.18138441,64.98924121,36.33157106,60.97569636,39.16938173,57.9578663,,,,,28.77437949,68.94929067,0,76.27807025,32.3837233,63.25360753,79.61701933,16.86303185,1.77231388,0.332708743,0.352817513,1.062108679,79.54352712,16.38883012,2.252528376,0.534154999,0.403419026,0.877540355,16.5,416,17.6,428,40492,415,65.6,716435,552625,129650,17855,2470,2335,11495,547025,435525,92245,9695,1820,1930,5810,728765,561127,131685,20302,3816,2841,8994
rep,AR,2,Republican,Hill,French,(FRENCH HIL),J. French Hill,,,,1533 Longworth House Office Building Washington DC 20515-0402,(202) 225-2506,,https://hill.house.gov,,1/3/19,1/3/21,,,M,12/5/56,,White - Non-Hispanic,No,,1533 Longworth House Office Building,,Won,41.65922847,52.37642276,42.91301301,54.74591047,44.29258312,53.78755328,,,,,45.82111871,52.12998071,36.81330671,58.34479475,43.60047192,51.85732946,73.67724631,21.1721055,2.411265087,1.007599464,0.305766652,1.426016987,73.40234714,19.55712425,4.030823198,1.440005491,0.431170736,1.138529179,30,202,32.5,228,49498,321,49.7,735830,517835,166100,27185,7950,2005,14765,559250,412040,118405,13485,5635,1710,7975,729192,512941,155352,35048,10421,3117,12313
rep,AR,3,Republican,Womack,Steve,(STEEV WOH-mak),Steve Womack,,,,2412 Rayburn House Office Building Washington DC 20515-0403,(202) 225-4301,,https://womack.house.gov,,1/3/19,1/3/21,,,M,2/18/57,,White - Non-Hispanic,No,,2412 Rayburn House Office Building,http://womack.house.gov/news/rss.aspx,Won,30.49017158,61.92467903,31.59608488,65.47301178,33.86337285,63.85004299,,,,,32.62925105,64.7417591,0,77.31811596,0,79.41446042,86.24255219,2.867464227,5.850340136,1.937602627,1.106263195,1.995777621,81.8476855,2.41071445,9.973486938,2.878429216,1.257202531,1.632481361,26.9,255,28.8,286,47903,340,61.3,721855,586720,21265,70275,16845,7655,19095,532875,459565,15280,31175,10325,5895,10635,728959,569478,18752,92851,22190,9591,16097
rep,AR,4,Republican,Westerman,Bruce,(BROOS WES-ter-muhn),Bruce Westerman,,,,209 Cannon House Office Building Washington DC 20515-0404,(202) 225-3772,,https://westerman.house.gov,,1/3/19,1/3/21,,,M,11/18/67,,White - Non-Hispanic,No,,209 Cannon House Office Building,,Won,31.33233129,64.15922831,35.88187717,61.82714192,37.41159015,59.94763832,,,,,31.22815923,66.73759834,0,74.90405842,42.56613513,53.74688911,76.48408214,19.10330293,2.210037487,0.431749939,0.60706093,1.164699081,75.39194767,18.33652985,4.006016401,0.617832584,0.619631747,1.028041755,15.8,420,17,430,39586,420,63.4,699895,514345,139835,27215,3405,4300,10795,536190,410100,102430,11850,2315,3255,6245,729002,529923,141313,37849,4729,4634,10554
sen,AR,,Republican,Boozman,John,(JAHN BOHZ-muhn),John Boozman,,,,141 Hart Senate Office Building Washington DC 20510,202-224-4843,202-228-1371,https://www.boozman.senate.gov/public,,1/3/17,1/3/23,senior,3,M,12/10/50,,White - Non-Hispanic,No,https://www.boozman.senate.gov/public/index.cfm/contact,141 Hart Senate Office Building,http://www.boozman.senate.gov/public/index.cfm/rss/feed,Not up,33.65312413,60.57410216,36.8789903,60.56693608,38.86465977,58.7159045,,,36.17101963,59.77163433,,,,,,,78.94076328,15.09465187,3.043432291,0.923763642,0.587954067,1.409664696,77.52103366,14.23883493,5.039549673,1.359118834,0.674818991,1.16664391,22.4,,24,,43813,49,59.9949801,2874015,2171525,456850,142530,30670,16295,56150,2175340,1717230,328360,66205,20095,12790,30665,2915918,2173469,447102,186050,41156,20183,47958
sen,AR,,Republican,Cotton,Tom,(TAHM KAHT-n),Tom Cotton,,,,124 Russell Senate Office Building Washington DC 20510,202-224-2353,,https://www.cotton.senate.gov,,1/6/15,1/3/21,junior,2,M,5/13/77,,White - Non-Hispanic,No,http://www.cotton.senate.gov/?p=contact,124 Russell Senate Office Building,,Not up,33.65312413,60.57410216,36.8789903,60.56693608,38.86465977,58.7159045,,,39.43032784,56.49748379,,,,,,,78.94076328,15.09465187,3.043432291,0.923763642,0.587954067,1.409664696,77.52103366,14.23883493,5.039549673,1.359118834,0.674818991,1.16664391,22.4,,24,,43813,49,59.9949801,2874015,2171525,456850,142530,30670,16295,56150,2175340,1717230,328360,66205,20095,12790,30665,2915918,2173469,447102,186050,41156,20183,47958
rep,AS,0,Republican,Amata,Aumua,,Aumua Amata Coleman Radewagen,,,,1339 Longworth House Office Building Washington DC 20515-5200,(202) 225-8577,,https://radewagen.house.gov,,1/3/19,1/3/21,,,F,12/29/47,,,,,1339 Longworth House Office Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rep,AZ,1,Democrat,O'Halleran,Tom,(TAHM oh-HAL-er-uhn),Tom O'Halleran,,,,324 Cannon House Office Building Washington DC 20515-0301,(202) 225-3361,,https://ohalleran.house.gov,,1/3/19,1/3/21,,,M,1/24/46,,White - Non-Hispanic,No,,324 Cannon House Office Building,,Won,46.62687342,47.6985539,47.89353062,50.4179869,47.83593865,50.99535939,,,,,53.83161273,46.14395935,50.66403049,43.37038225,52.61136381,47.38863619,56.07065059,2.216082155,17.05157342,1.297586828,21.77324293,1.592750111,56.24218614,2.127667722,18.05348941,1.757580283,20.52080282,1.298273627,24.5,300,34.2,199,50537,302,36.8,709770,360450,15500,142430,8970,167985,14440,530215,297295,11750,90410,6880,115445,8445,710224,361485,14687,147846,11190,162087,12929
rep,AZ,2,Democrat,Kirkpatrick,Ann,(ANN kirk-PAT-trik,Ann Kirkpatrick,,,,309 Cannon House Office Building Washington DC 20515-0302,(202) 225-2542,,http://kirkpatrick.house.gov,,1/3/19,1/3/21,,,F,3/24/50,,White - Non-Hispanic,No,,309 Cannon House Office Building,http://kirkpatrick.house.gov/rss.xml,Open - Ran for Senate,49.60628675,44.70505542,48.37182298,49.93509982,48.90173111,49.83194557,,,,,54.73360711,45.24293563,43.04150735,56.95849265,49.93959453,50.01299287,70.01073612,3.64001307,21.12122485,2.483312328,0.907435933,1.836344116,69.24525125,3.473162658,21.74268968,2.988972722,0.877560672,1.672363019,34,141,38.8,150,49072,326,42.8,680785,440915,25465,173960,16135,6475,17840,535575,374960,19495,113120,13300,4860,9835,710224,457249,25861,183537,20664,6472,16441
rep,AZ,3,Democrat,Grijalva,Ra'ul,(rah-OOL gree-HAL-vuh) [Rs are trilled],Ra'ul M. Grijalva,M.,,,1511 Longworth House Office Building Washington DC 20515-0303,(202) 225-2435,,https://grijalva.house.gov,,1/3/19,1/3/21,,,M,2/19/48,Roman Catholic,Hispanic - Mexican,No,,1511 Longworth House Office Building,http://grijalva.house.gov/common/rss/?rss=13,Won,62.44364249,32.52318914,61.44046759,36.94371728,58.16780851,40.7216524,,,,,63.86546196,36.13453804,88.0793449,0,55.72451833,44.2266442,37.48245047,4.988523165,51.10422749,1.650212823,3.509905734,1.262451808,34.55699025,3.905830921,55.17104208,2.093248926,3.074277288,1.198610528,16.5,416,26.9,314,44224,381,27.3,648715,199845,31305,376100,9220,22825,9425,448730,168195,22385,229320,7405,15750,5665,710224,206608,27375,430398,12954,22441,10448
rep,AZ,4,Republican,Gosar,Paul,(PAWL GOH-sar),Paul A. Gosar,A.,,,2057 Rayburn House Office Building Washington DC 20515-0304,(202) 225-2315,,https://gosar.house.gov,,1/3/19,1/3/21,,,M,11/22/58,,White - Non-Hispanic,No,,2057 Rayburn House Office Building,http://gosar.house.gov/rss.xml,Won,27.53657662,67.68995219,31.01578788,67.19499624,34.38901412,64.18637439,,,,,30.50914144,68.16539426,28.5466478,71.4533522,25.79019175,69.96272384,81.75040023,1.678268847,12.5942115,1.089165902,1.506484629,1.382368284,79.73446349,1.459965527,14.52183118,1.197376627,1.823563984,1.262799187,19.2,396,20.5,414,49466,322,64.9,702085,545025,12065,112630,7635,11900,12825,555930,454475,9330,70015,6055,8375,7685,710224,538609,11065,127216,8356,12667,12311
rep,AZ,5,Republican,Biggs,Andy,(ANN-dee BIGZ),Andy Biggs,,,,1318 Longworth House Office Building Washington DC 20515-0305,(202) 225-2635,,https://biggs.house.gov,,1/3/19,1/3/21,,,M,11/7/58,,White - Non-Hispanic,No,,1318 Longworth House Office Building,,Won,36.51989051,57.64409367,34.55717145,63.76349796,36.278343,62.62961658,,,,,40.5754095,59.4245905,35.90483688,64.09516312,30.42186969,69.57813031,78.01414411,2.87142492,13.281642,3.66004904,0.821759588,1.351927064,76.81886681,2.75683653,13.9656843,4.354674886,0.79677469,1.307162784,36,118,37.5,164,71693,82,48.7,728335,538440,20705,118765,28070,6300,16050,528135,412020,15165,70145,19330,4340,7140,710224,518678,20369,118907,31210,6041,15019
rep,AZ,6,Republican,Schweikert,David,(DEY-vid SHWAHY-kert),David Schweikert,,,,1526 Longworth House Office Building Washington DC 20515-0306,(202) 225-2190,,https://schweikert.house.gov,,1/3/19,1/3/21,,,M,3/3/62,,White - Non-Hispanic,No,,1526 Longworth House Office Building,http://schweikert.house.gov/rss/press-releases.xml,Won,42.43507098,52.41376049,38.81761359,59.51719275,41.19596082,57.72191321,,,,,44.80696464,55.19303536,37.86970941,62.13029059,35.13835496,64.86164504,81.39941744,2.530822357,10.30281935,2.991554766,1.382197226,1.393188854,79.17554736,2.254523292,12.27194207,3.594290392,1.384305791,1.3193911,45.4,41,48.5,72,67830,114,41.9,696790,534295,18200,96205,23195,10035,14865,545870,444335,13815,56240,16330,7545,7605,710224,534954,16932,107938,25771,11141,13488
rep,AZ,7,Democrat,Gallego,Ruben,(ROO-bin GAHY-ey-goh),Ruben Gallego,,,,1131 Longworth House Office Building Washington DC 20515-0307,(202) 225-4065,,https://rubengallego.house.gov,,1/3/19,1/3/21,,,M,11/20/79,,Hispanic - Mexican/Colombian,No,,1131 Longworth House Office Building,,Won,71.75104471,22.6473397,71.69835423,26.508974,64.71911973,34.08570912,,,,,85.60631877,0.227942234,75.22463809,24.73758115,74.85439037,0,33.93464591,12.1031337,47.10081435,2.535821049,2.903051232,1.422533759,26.68712368,8.991319119,58.1597965,2.777713381,2.053147478,1.330899848,14,427,26.5,322,40991,409,24.9,615185,154740,66280,354640,12720,16265,10550,388040,131680,46965,182770,9840,11265,5520,710224,148948,61376,457064,17438,13930,11468
rep,AZ,8,Republican,Lesko,Debbie,(DEH-bee LES-koh),Debbie Lesko,,,,1113 Longworth House Office Building Washington DC 20515-0308,(202) 225-4576,,https://lesko.house.gov/,,1/3/19,1/3/21,,,F,11/14/58,,White - Non-Hispanic,No,,1113 Longworth House Office Building,,Won,36.96387383,58.09608188,36.86891586,61.67604405,38.38106243,60.5560934,,,,,44.53397806,55.46175148,0,68.54912349,0,75.81165771,76.23795582,4.196767673,14.62342395,2.712036475,0.682541265,1.54727482,76.10745634,3.569764625,15.10948769,3.228722116,0.674444175,1.310125049,29.4,214,31.3,245,61754,159,52.3,723400,517825,31110,131515,20860,4760,17325,551615,420540,23150,80665,14960,3765,8535,710225,509305,27059,131226,23104,5003,14528
rep,AZ,9,Democrat,Stanton,Greg,(GREG STAN-tuhn),,,,,128 Cannon House Office Building Washington DC 20515-0309,(202) 225-9888,,,,1/3/19,1/3/21,,,M,,,White - Non-Hispanic,No,,128 Cannon House Office Building,,Open - Ran for Senate,54.65946601,38.44213582,51.11977109,46.5911711,51.28629918,47.39930376,,,,,61.08557102,38.91442898,60.91918402,39.04406015,54.6759882,41.86113956,67.85717658,5.293078863,18.66317887,3.598915887,2.650789004,1.936860793,64.36081773,4.678944477,22.44605416,4.510494472,2.283534467,1.720154697,37.5,99,44.7,94,55349,226,37.4,687315,421540,37075,165635,24070,19760,19240,529465,359280,28025,98815,19055,14035,10255,710224,419811,34377,191017,30781,17644,16594
sen,AZ,,Republican,McSally,Martha,(MAR-thuh mik-SAL-ee),Martha McSally,,,,,,,,,1/3/19,1/3/21,junior,3,F,3/22/66,,White - Non-Hispanic,No,,,,Not up,44.58041884,48.08314492,44.44854868,53.48460629,44.91231588,53.39398864,,,40.77443532,53.74410967,,,,,,,66.38626228,4.120015389,21.49092623,2.452653311,4.018142113,1.532109048,63.36118201,3.616394951,25.00949506,2.950176601,3.678498628,1.38425275,28.9,,35.3,,53510,30,42.9519117,6192380,3713075,257705,1671880,150875,266305,132560,4613575,3062780,190080,991500,113155,185380,70685,6392017,3695647,239101,1895149,181468,257426,123226
sen,AZ,,Democrat,Sinema,Kyrsten,(KEER-sten SIN-eh-muh),Kyrsten Sinema,,,,,,,,,1/3/19,1/3/25,senior,1,F,7/12/76,,White - Non-Hispanic,Bisexual,,,,Open - Retired,44.58041884,48.08314492,44.44854868,53.48460629,44.91231588,53.39398864,49.9676559,47.62260345,    Didn't run,,,,,,,,66.38626228,4.120015389,21.49092623,2.452653311,4.018142113,1.532109048,63.36118201,3.616394951,25.00949506,2.950176601,3.678498628,1.38425275,28.9,,35.3,,53510,30,42.9519117,6192380,3713075,257705,1671880,150875,266305,132560,4613575,3062780,190080,991500,113155,185380,70685,6392017,3695647,239101,1895149,181468,257426,123226
rep,CA,1,Republican,LaMalfa,Doug,(DUHG luh-MAL-fuh),Doug LaMalfa,,,,322 Cannon House Office Building Washington DC 20515-0501,(202) 225-3076,,https://lamalfa.house.gov,,1/3/19,1/3/21,,,M,7/2/60,,White - Non-Hispanic,No,,322 Cannon House Office Building,http://lamalfa.house.gov/rss.xml,Won,36.54098507,56.17069255,40.26578663,56.56010634,41.76,53.01,,,,,45.11341111,54.88658889,40.94689781,59.05310219,38.96992217,61.03007783,82.71146114,1.514257258,9.370504261,2.235419971,1.501346416,2.667010956,82.11055693,1.342829507,9.923789247,2.314962417,1.755315029,2.552546873,23.7,316,25.7,342,47488,345,61.4,682190,542190,9555,79700,16540,10365,23840,542180,448445,8210,50805,12120,8140,14460,704304,556527,9075,84890,17617,13263,22932
